date,Hour,load,temp
2012-01-01 00:00:00,1,2698.0,32.0
2012-01-01 01:00:00,2,2558.0,32.666666667
2012-01-01 02:00:00,3,2444.0,30.0
2012-01-01 03:00:00,4,2402.0,31.0
2012-01-01 04:00:00,5,2403.0,32.0
2012-01-01 05:00:00,6,2453.0,31.333333333
2012-01-01 06:00:00,7,2560.0,30.0
2012-01-01 07:00:00,8,2719.0,29.0
2012-01-01 08:00:00,9,2916.0,29.0
2012-01-01 09:00:00,10,3105.0,33.333333333
2012-01-01 10:00:00,11,3174.0,36.666666667
2012-01-01 11:00:00,12,3180.0,40.333333333
2012-01-01 12:00:00,13,3184.0,43.666666667
2012-01-01 13:00:00,14,3147.0,43.333333333
2012-01-01 14:00:00,15,3122.0,45.0
2012-01-01 15:00:00,16,3137.0,44.666666667
2012-01-01 16:00:00,17,3486.0,43.333333333
2012-01-01 17:00:00,18,3717.0,41.666666667
2012-01-01 18:00:00,19,3659.0,41.333333333
2012-01-01 19:00:00,20,3513.0,41.666666667
2012-01-01 20:00:00,21,3344.0,42.666666667
2012-01-01 21:00:00,22,3129.0,43.333333333
2012-01-01 22:00:00,23,2873.0,44.333333333
2012-01-01 23:00:00,24,2639.0,44.0
2012-01-02 00:00:00,1,2458.0,43.666666667
2012-01-02 01:00:00,2,2354.0,43.0
2012-01-02 02:00:00,3,2294.0,42.666666667
2012-01-02 03:00:00,4,2288.0,43.666666667
2012-01-02 04:00:00,5,2353.0,43.0
2012-01-02 05:00:00,6,2503.0,41.0
2012-01-02 06:00:00,7,2737.0,40.0
2012-01-02 07:00:00,8,2960.0,37.333333333
2012-01-02 08:00:00,9,3185.0,37.0
2012-01-02 09:00:00,10,3390.0,37.333333333
2012-01-02 10:00:00,11,3510.0,38.666666667
2012-01-02 11:00:00,12,3549.0,40.0
2012-01-02 12:00:00,13,3517.0,38.0
2012-01-02 13:00:00,14,3469.0,39.333333333
2012-01-02 14:00:00,15,3449.0,38.333333333
2012-01-02 15:00:00,16,3504.0,38.0
2012-01-02 16:00:00,17,3843.0,37.333333333
2012-01-02 17:00:00,18,4125.0,36.0
2012-01-02 18:00:00,19,4064.0,34.333333333
2012-01-02 19:00:00,20,3919.0,31.333333333
2012-01-02 20:00:00,21,3747.0,31.0
2012-01-02 21:00:00,22,3484.0,30.333333333
2012-01-02 22:00:00,23,3190.0,28.666666667
2012-01-02 23:00:00,24,2949.0,27.666666667
2012-01-03 00:00:00,1,2780.0,26.333333333
2012-01-03 01:00:00,2,2699.0,26.0
2012-01-03 02:00:00,3,2663.0,25.666666667
2012-01-03 03:00:00,4,2683.0,24.666666667
2012-01-03 04:00:00,5,2799.0,22.666666667
2012-01-03 05:00:00,6,3083.0,21.666666667
2012-01-03 06:00:00,7,3593.0,20.333333333
2012-01-03 07:00:00,8,3845.0,19.0
2012-01-03 08:00:00,9,3865.0,18.333333333
2012-01-03 09:00:00,10,3906.0,18.666666667
2012-01-03 10:00:00,11,3935.0,18.333333333
2012-01-03 11:00:00,12,3924.0,18.666666667
2012-01-03 12:00:00,13,3897.0,18.666666667
2012-01-03 13:00:00,14,3877.0,18.666666667
2012-01-03 14:00:00,15,3854.0,18.666666667
2012-01-03 15:00:00,16,3904.0,17.666666667
2012-01-03 16:00:00,17,4200.0,15.666666667
2012-01-03 17:00:00,18,4482.0,13.333333333
2012-01-03 18:00:00,19,4460.0,11.666666667
2012-01-03 19:00:00,20,4353.0,10.666666667
2012-01-03 20:00:00,21,4198.0,9.6666666667
2012-01-03 21:00:00,22,3935.0,8.6666666667
2012-01-03 22:00:00,23,3605.0,7.6666666667
2012-01-03 23:00:00,24,3347.0,7.0
2012-01-04 00:00:00,1,3184.0,6.0
2012-01-04 01:00:00,2,3104.0,5.6666666667
2012-01-04 02:00:00,3,3065.0,5.3333333333
2012-01-04 03:00:00,4,3077.0,5.0
2012-01-04 04:00:00,5,3162.0,4.6666666667
2012-01-04 05:00:00,6,3444.0,4.0
2012-01-04 06:00:00,7,3943.0,4.6666666667
2012-01-04 07:00:00,8,4152.0,4.6666666667
2012-01-04 08:00:00,9,4134.0,5.0
2012-01-04 09:00:00,10,4124.0,8.0
2012-01-04 10:00:00,11,4123.0,10.666666667
2012-01-04 11:00:00,12,4113.0,13.666666667
2012-01-04 12:00:00,13,4071.0,15.666666667
2012-01-04 13:00:00,14,4050.0,17.666666667
2012-01-04 14:00:00,15,4032.0,19.333333333
2012-01-04 15:00:00,16,4048.0,20.0
2012-01-04 16:00:00,17,4312.0,20.0
2012-01-04 17:00:00,18,4507.0,20.0
2012-01-04 18:00:00,19,4460.0,20.0
2012-01-04 19:00:00,20,4331.0,20.333333333
2012-01-04 20:00:00,21,4147.0,20.333333333
2012-01-04 21:00:00,22,3860.0,20.666666667
2012-01-04 22:00:00,23,3515.0,21.333333333
2012-01-04 23:00:00,24,3210.0,22.0
2012-01-05 00:00:00,1,3014.0,22.333333333
2012-01-05 01:00:00,2,2921.0,22.333333333
2012-01-05 02:00:00,3,2874.0,22.0
2012-01-05 03:00:00,4,2876.0,21.666666667
2012-01-05 04:00:00,5,2962.0,21.333333333
2012-01-05 05:00:00,6,3239.0,21.333333333
2012-01-05 06:00:00,7,3719.0,21.666666667
2012-01-05 07:00:00,8,3940.0,22.666666667
2012-01-05 08:00:00,9,3933.0,23.0
2012-01-05 09:00:00,10,3948.0,24.0
2012-01-05 10:00:00,11,3945.0,25.666666667
2012-01-05 11:00:00,12,3933.0,28.0
2012-01-05 12:00:00,13,3894.0,29.333333333
2012-01-05 13:00:00,14,3873.0,30.666666667
2012-01-05 14:00:00,15,3838.0,32.0
2012-01-05 15:00:00,16,3855.0,32.0
2012-01-05 16:00:00,17,4112.0,30.666666667
2012-01-05 17:00:00,18,4326.0,29.0
2012-01-05 18:00:00,19,4317.0,27.0
2012-01-05 19:00:00,20,4213.0,25.0
2012-01-05 20:00:00,21,4031.0,24.0
2012-01-05 21:00:00,22,3749.0,22.333333333
2012-01-05 22:00:00,23,3417.0,20.0
2012-01-05 23:00:00,24,3167.0,19.0
2012-01-06 00:00:00,1,2992.0,17.0
2012-01-06 01:00:00,2,2916.0,17.0
